request_id,arrival_time_ms,ttft_ms,tpot_ms,e2e_ms,status
req_1,177.55192528172145,516.61,31.22,4918.2,success
req_2,465.0420472130779,217.3,30.03,2980.04,success
req_3,834.7299512583332,394.15,30.43,6115.3,success
req_4,902.4296608424539,53.34,30.29,5838.95,success
req_5,1077.9139500492845,101.66,29.39,2129.88,success
req_6,1185.2574654973614,53.26,30.12,3788.17,success
req_7,1627.3255798739535,48.26,29.75,2517.43,success
req_8,1628.5163743664234,48.98,30.04,4855.32,success
req_9,1659.0177080012998,52.44,30.49,6485.18,success
req_10,1735.0220576323027,57.55,29.71,2702.18,success
req_11,1929.3444133996477,52.23,30.03,5367.08,success
req_12,2096.943024412892,53.56,30.08,5768.38,success
req_13,2512.3285612677905,59.31,30.0,4169.38,success
req_14,2648.5784102496496,72.81,30.1,7629.03,success
req_15,2694.616200749394,76.25,30.17,6080.08,success
req_16,2783.120765325191,50.49,29.75,4869.69,success
req_17,2838.2480048958273,54.45,29.82,4050.3,success
req_18,2996.4660374964815,48.62,30.36,6698.48,success
req_19,3182.5499162101305,43.68,29.93,3754.56,success
req_20,3345.1401738913496,63.26,29.71,2797.01,success
req_21,3777.556571840241,54.57,30.18,5155.51,success
req_22,3863.0150662321635,56.55,30.04,4803.0,success
req_23,3873.5709944478795,51.31,30.39,7102.5,success
req_24,3883.6739336390096,54.37,30.46,5536.35,success
req_25,4028.213248646147,52.56,29.88,3219.33,success
req_26,4038.021554726665,46.2,30.3,6256.89,success
req_27,4064.222032588804,41.98,29.99,3191.25,success
req_28,4085.2074013392553,63.32,30.53,2627.78,success
req_29,4100.925278763331,46.94,30.05,6117.46,success
req_30,4197.542273167618,57.61,29.89,3524.76,success
req_31,4374.66567396642,71.88,29.93,6567.19,success
req_32,4532.884451053177,52.02,29.91,4179.46,success
req_33,4703.603568162667,51.5,29.9,3070.93,success
req_34,4918.670691246665,50.81,29.98,4098.07,success
req_35,4967.189543576766,54.21,29.95,5564.42,success
req_36,5022.706334433532,63.01,29.52,2276.81,success
req_37,5205.736082730039,64.66,29.8,3997.85,success
req_38,5373.434019620387,55.29,29.91,5199.26,success
req_39,5461.403489505359,63.06,29.71,3449.76,success
req_40,5514.872156097046,65.31,29.92,3685.61,success
req_41,5558.188806867559,53.3,30.14,4483.98,success
req_42,5758.229151114478,81.61,29.95,4664.56,success
req_43,5765.559456052297,46.05,30.24,6427.6,success
req_44,5784.689943214453,61.27,29.84,5849.83,success
req_45,5791.166484746051,50.38,29.72,5133.06,success
req_46,5840.652239511783,46.49,29.72,3434.6,success
req_47,6078.895658308458,53.82,29.48,2382.55,success
req_48,6133.834146086665,47.99,29.32,2364.09,success
req_49,6195.447920052306,45.89,29.59,3359.68,success
req_50,6229.711481169223,68.47,29.93,5336.9,success
