timestamp,index,uuid,memory_used_mb,utilization_percent
2026/08/16 16:43:27.672,0,GPU-094fa489-1d06-8e2d-5472-86ede424fe28,39449,0
2026/08/16 16:43:27.674,1,GPU-eab969fb-2ff3-0a02-98f2-09553897b528,39431,0
2026/08/16 16:43:27.675,2,GPU-8c055b89-1012-7ec4-7714-75eddf1b44db,39417,0
2026/08/16 16:43:27.675,3,GPU-c1a74599-8eaf-267b-65b6-5bf5af032498,39417,0
2026/08/16 16:43:27.676,4,GPU-13abcc34-fbd1-52a8-20af-8bdf75680396,3,0
2026/08/16 16:43:27.677,5,GPU-4889cbae-8185-c8aa-939f-b3e1d6703cb9,3,0
2026/08/16 16:43:27.677,6,GPU-bffe663e-9091-437b-6b85-5f9c3fa1478a,0,0
2026/08/16 16:43:27.679,7,GPU-906ef884-cc72-20f4-9342-dae5d2221fbd,0,0
2026/08/16 16:43:28.783,0,GPU-094fa489-1d06-8e2d-5472-86ede424fe28,39449,0
2026/08/16 16:43:28.784,1,GPU-eab969fb-2ff3-0a02-98f2-09553897b528,39431,0
2026/08/16 16:43:28.785,2,GPU-8c055b89-1012-7ec4-7714-75eddf1b44db,39417,0
2026/08/16 16:43:28.786,3,GPU-c1a74599-8eaf-267b-65b6-5bf5af032498,39417,0
2026/08/16 16:43:28.787,4,GPU-13abcc34-fbd1-52a8-20af-8bdf75680396,3,0
2026/08/16 16:43:28.788,5,GPU-4889cbae-8185-c8aa-939f-b3e1d6703cb9,3,0
2026/08/16 16:43:28.788,6,GPU-bffe663e-9091-437b-6b85-5f9c3fa1478a,0,0
2026/08/16 16:43:28.789,7,GPU-906ef884-cc72-20f4-9342-dae5d2221fbd,0,0
2026/08/16 16:43:29.781,0,GPU-094fa489-1d06-8e2d-5472-86ede424fe28,39449,0
2026/08/16 16:43:29.782,1,GPU-eab969fb-2ff3-0a02-98f2-09553897b528,39431,0
2026/08/16 16:43:29.782,2,GPU-8c055b89-1012-7ec4-7714-75eddf1b44db,39417,0
2026/08/16 16:43:29.783,3,GPU-c1a74599-8eaf-267b-65b6-5bf5af032498,39417,0
2026/08/16 16:43:29.784,4,GPU-13abcc34-fbd1-52a8-20af-8bdf75680396,3,0
2026/08/16 16:43:29.785,5,GPU-4889cbae-8185-c8aa-939f-b3e1d6703cb9,3,0
2026/08/16 16:43:29.785,6,GPU-bffe663e-9091-437b-6b85-5f9c3fa1478a,0,0
2026/08/16 16:43:29.786,7,GPU-906ef884-cc72-20f4-9342-dae5d2221fbd,0,0
