timestamp,index,uuid,memory_used_mb,utilization_percent
2026/08/16 16:44:54.634,0,GPU-094fa489-1d06-8e2d-5472-86ede424fe28,39449,0
2026/08/16 16:44:54.637,1,GPU-eab969fb-2ff3-0a02-98f2-09553897b528,39431,0
2026/08/16 16:44:54.638,2,GPU-8c055b89-1012-7ec4-7714-75eddf1b44db,39417,0
2026/08/16 16:44:54.639,3,GPU-c1a74599-8eaf-267b-65b6-5bf5af032498,39417,0
2026/08/16 16:44:54.640,4,GPU-13abcc34-fbd1-52a8-20af-8bdf75680396,3,0
2026/08/16 16:44:54.641,5,GPU-4889cbae-8185-c8aa-939f-b3e1d6703cb9,3,0
2026/08/16 16:44:54.642,6,GPU-bffe663e-9091-437b-6b85-5f9c3fa1478a,0,0
2026/08/16 16:44:54.644,7,GPU-906ef884-cc72-20f4-9342-dae5d2221fbd,0,0
2026/08/16 16:44:55.792,0,GPU-094fa489-1d06-8e2d-5472-86ede424fe28,39449,0
2026/08/16 16:44:55.794,1,GPU-eab969fb-2ff3-0a02-98f2-09553897b528,39431,0
2026/08/16 16:44:55.795,2,GPU-8c055b89-1012-7ec4-7714-75eddf1b44db,39385,0
2026/08/16 16:44:55.795,3,GPU-c1a74599-8eaf-267b-65b6-5bf5af032498,39385,0
2026/08/16 16:44:55.796,4,GPU-13abcc34-fbd1-52a8-20af-8bdf75680396,3,0
2026/08/16 16:44:55.797,5,GPU-4889cbae-8185-c8aa-939f-b3e1d6703cb9,3,0
2026/08/16 16:44:55.797,6,GPU-bffe663e-9091-437b-6b85-5f9c3fa1478a,0,0
2026/08/16 16:44:55.798,7,GPU-906ef884-cc72-20f4-9342-dae5d2221fbd,0,0
2026/08/16 16:44:56.750,0,GPU-094fa489-1d06-8e2d-5472-86ede424fe28,39449,0
2026/08/16 16:44:56.752,1,GPU-eab969fb-2ff3-0a02-98f2-09553897b528,39431,0
2026/08/16 16:44:56.752,2,GPU-8c055b89-1012-7ec4-7714-75eddf1b44db,39385,0
2026/08/16 16:44:56.753,3,GPU-c1a74599-8eaf-267b-65b6-5bf5af032498,39385,0
2026/08/16 16:44:56.754,4,GPU-13abcc34-fbd1-52a8-20af-8bdf75680396,3,0
2026/08/16 16:44:56.754,5,GPU-4889cbae-8185-c8aa-939f-b3e1d6703cb9,3,0
2026/08/16 16:44:56.755,6,GPU-bffe663e-9091-437b-6b85-5f9c3fa1478a,0,0
2026/08/16 16:44:56.755,7,GPU-906ef884-cc72-20f4-9342-dae5d2221fbd,0,0
