timestamp,index,uuid,memory_used_mb,utilization_percent
2026/08/16 16:46:15.221,0,GPU-094fa489-1d06-8e2d-5472-86ede424fe28,39449,0
2026/08/16 16:46:15.224,1,GPU-eab969fb-2ff3-0a02-98f2-09553897b528,39431,0
2026/08/16 16:46:15.225,2,GPU-8c055b89-1012-7ec4-7714-75eddf1b44db,39417,0
2026/08/16 16:46:15.227,3,GPU-c1a74599-8eaf-267b-65b6-5bf5af032498,39417,0
2026/08/16 16:46:15.229,4,GPU-13abcc34-fbd1-52a8-20af-8bdf75680396,3,0
2026/08/16 16:46:15.232,5,GPU-4889cbae-8185-c8aa-939f-b3e1d6703cb9,3,0
2026/08/16 16:46:15.235,6,GPU-bffe663e-9091-437b-6b85-5f9c3fa1478a,0,0
2026/08/16 16:46:15.237,7,GPU-906ef884-cc72-20f4-9342-dae5d2221fbd,0,0
2026/08/16 16:46:16.375,0,GPU-094fa489-1d06-8e2d-5472-86ede424fe28,39449,0
2026/08/16 16:46:16.376,1,GPU-eab969fb-2ff3-0a02-98f2-09553897b528,39431,0
2026/08/16 16:46:16.377,2,GPU-8c055b89-1012-7ec4-7714-75eddf1b44db,39385,0
2026/08/16 16:46:16.379,3,GPU-c1a74599-8eaf-267b-65b6-5bf5af032498,39385,0
2026/08/16 16:46:16.380,4,GPU-13abcc34-fbd1-52a8-20af-8bdf75680396,3,0
2026/08/16 16:46:16.382,5,GPU-4889cbae-8185-c8aa-939f-b3e1d6703cb9,3,0
2026/08/16 16:46:16.384,6,GPU-bffe663e-9091-437b-6b85-5f9c3fa1478a,0,0
2026/08/16 16:46:16.386,7,GPU-906ef884-cc72-20f4-9342-dae5d2221fbd,0,0
2026/08/16 16:46:17.320,0,GPU-094fa489-1d06-8e2d-5472-86ede424fe28,39449,0
2026/08/16 16:46:17.321,1,GPU-eab969fb-2ff3-0a02-98f2-09553897b528,39431,0
2026/08/16 16:46:17.323,2,GPU-8c055b89-1012-7ec4-7714-75eddf1b44db,39385,0
2026/08/16 16:46:17.324,3,GPU-c1a74599-8eaf-267b-65b6-5bf5af032498,39385,0
2026/08/16 16:46:17.326,4,GPU-13abcc34-fbd1-52a8-20af-8bdf75680396,3,0
2026/08/16 16:46:17.328,5,GPU-4889cbae-8185-c8aa-939f-b3e1d6703cb9,3,0
2026/08/16 16:46:17.330,6,GPU-bffe663e-9091-437b-6b85-5f9c3fa1478a,0,0
2026/08/16 16:46:17.340,7,GPU-906ef884-cc72-20f4-9342-dae5d2221fbd,0,0
