request_id,arrival_time_ms,ttft_ms,tpot_ms,e2e_ms,status
req_1,0.0,0,0,0,failed: peer closed connection without sending complete message body (incomplete chunked read)
req_2,100.0,0,0,0,failed: Connection error.
req_3,200.0,0,0,0,failed: Connection error.
req_4,300.0,0,0,0,failed: Connection error.
req_5,400.0,0,0,0,failed: Connection error.
req_6,500.0,0,0,0,failed: Connection error.
req_7,600.0,0,0,0,failed: Connection error.
req_8,700.0,0,0,0,failed: Connection error.
req_9,800.0,0,0,0,failed: Connection error.
req_10,900.0,0,0,0,failed: Connection error.
req_11,1000.0,0,0,0,failed: Connection error.
req_12,1100.0,0,0,0,failed: Connection error.
req_13,1200.0,0,0,0,failed: Connection error.
req_14,1300.0,0,0,0,failed: Connection error.
req_15,1400.0,0,0,0,failed: Connection error.
req_16,1500.0,0,0,0,failed: Connection error.
req_17,1600.0,0,0,0,failed: Connection error.
req_18,1700.0,0,0,0,failed: Connection error.
req_19,1800.0,0,0,0,failed: Connection error.
req_20,1900.0,0,0,0,failed: Connection error.
