tp_size,batch_size,prompt_tokens,output_tokens,ttft_mean_ms,tpot_mean_ms,kv_length
1,1,128,1,134.268,0,0
1,1,256,1,173.192,0,0
1,1,512,1,267.251,0,0
1,1,768,1,341.907,0,0
1,1,1024,1,434.198,0,0
1,1,1536,1,626.072,0,0
1,1,2048,1,794.635,0,0
1,1,3072,1,1195.541,0,0
1,1,4096,1,1557.651,0,0
1,2,128,1,172.698,0,0
1,2,256,1,265.849,0,0
1,2,512,1,429.639,0,0
1,2,768,1,616.084,0,0
1,2,1024,1,777.411,0,0
1,2,1536,1,1157.901,0,0
1,2,2048,1,1491.16,0,0
1,2,3072,1,2275.244,0,0
1,2,4096,1,3067.86,0,0
1,3,128,1,214.799,0,0
1,3,256,1,338.473,0,0
1,3,512,1,612.728,0,0
1,3,768,1,851.448,0,0
1,3,1024,1,1145.248,0,0
1,3,1536,1,1670.269,0,0
1,3,2048,1,2226.293,0,0
1,3,3072,1,3389.004,0,0
1,3,4096,1,4564.543,0,0
1,4,128,1,265.308,0,0
1,4,256,1,427.408,0,0
1,4,512,1,768.815,0,0
1,4,768,1,1139.505,0,0
1,4,1024,1,1459.541,0,0
1,4,1536,1,2201.378,0,0
1,4,2048,1,2938.562,0,0
1,4,3072,1,4465.607,0,0
1,4,4096,1,6043.29,0,0
1,6,128,1,337.627,0,0
1,6,256,1,609.767,0,0
1,6,512,1,1133.187,0,0
1,6,768,1,1642.173,0,0
1,6,1024,1,2177.653,0,0
1,6,1536,1,3279.261,0,0
1,6,2048,1,4369.213,0,0
1,6,3072,1,6632.709,0,0
1,6,4096,1,9036.985,0,0
1,8,128,1,426.362,0,0
1,8,256,1,764.876,0,0
1,8,512,1,1442.326,0,0
1,8,768,1,2164.746,0,0
1,8,1024,1,2874.227,0,0
1,8,1536,1,4322.45,0,0
1,8,2048,1,5785.795,0,0
1,8,3072,1,8842.482,0,0
1,8,4096,1,11949.822,0,0
1,12,128,1,608.249,0,0
1,12,256,1,1128.202,0,0
1,12,512,1,2152.85,0,0
1,12,768,1,3225.272,0,0
1,12,1024,1,4274.549,0,0
1,12,1536,1,6417.025,0,0
1,12,2048,1,8650.994,0,0
1,12,3072,1,13153.438,0,0
1,12,4096,1,17876.088,0,0
1,16,128,1,762.924,0,0
1,16,256,1,1439.116,0,0
1,16,512,1,2842.067,0,0
1,16,768,1,4250.012,0,0
1,16,1024,1,5660.377,0,0
1,16,1536,1,8555.991,0,0
1,16,2048,1,11436.4,0,0
1,16,3072,1,17492.974,0,0
1,16,4096,1,23883.837,0,0
1,24,128,1,1126.671,0,0
1,24,256,1,2148.917,0,0
1,24,512,1,4228.25,0,0
1,24,768,1,6309.895,0,0
