batch_id,stage,replica_id,tp_size,start_time_ms,end_time_ms,batch_size,query_tokens,prefill_tokens,decode_count,compute_ms,communication_ms,iteration_overhead_ms,estimated_time_ms,kv_blocks_used,kv_blocks_total,kv_block_utilization,extrapolated
prefill_r0_batch_1,prefill,0,4,0.0,155.83013333333335,1,512,512,0,88.4224,64.0744,3.3333333333333335,155.83013333333335,32,22136,0.0014456089627755693,False
decode_r0_batch_1,decode,0,4,166.17013333333335,195.5401666666667,1,1,0,1,24.3749,1.6618,3.3333333333333335,29.370033333333332,32,22136,0.0014456089627755693,True
decode_r0_batch_2,decode,0,4,195.5401666666667,224.90970000000002,1,1,0,1,24.3746,1.6617,3.3333333333333335,29.369533333333333,33,22136,0.0014907842428623058,True
decode_r0_batch_3,decode,0,4,224.90970000000002,254.27873333333335,1,1,0,1,24.3742,1.6615,3.3333333333333335,29.36903333333333,33,22136,0.0014907842428623058,True
decode_r0_batch_4,decode,0,4,254.27873333333335,283.64726666666667,1,1,0,1,24.3738,1.6613,3.3333333333333335,29.368533333333332,33,22136,0.0014907842428623058,True
decode_r0_batch_5,decode,0,4,283.64726666666667,313.0152,1,1,0,1,24.3735,1.6612,3.3333333333333335,29.367933333333333,33,22136,0.0014907842428623058,True
decode_r0_batch_6,decode,0,4,313.0152,342.38263333333333,1,1,0,1,24.3731,1.661,3.3333333333333335,29.36743333333333,33,22136,0.0014907842428623058,True
decode_r0_batch_7,decode,0,4,342.38263333333333,371.7495666666667,1,1,0,1,24.3728,1.6608,3.3333333333333335,29.366933333333332,33,22136,0.0014907842428623058,True
decode_r0_batch_8,decode,0,4,371.7495666666667,401.116,1,1,0,1,24.3724,1.6607,3.3333333333333335,29.366433333333333,33,22136,0.0014907842428623058,True
decode_r0_batch_9,decode,0,4,401.116,430.4819333333333,1,1,0,1,24.3721,1.6605,3.3333333333333335,29.36593333333333,33,22136,0.0014907842428623058,True
decode_r0_batch_10,decode,0,4,430.4819333333333,459.84726666666666,1,1,0,1,24.3717,1.6603,3.3333333333333335,29.365333333333332,33,22136,0.0014907842428623058,True
decode_r0_batch_11,decode,0,4,459.84726666666666,489.21209999999996,1,1,0,1,24.3714,1.6602,3.3333333333333335,29.364833333333333,33,22136,0.0014907842428623058,True
decode_r0_batch_12,decode,0,4,489.21209999999996,518.5764333333333,1,1,0,1,24.371,1.66,3.3333333333333335,29.36433333333333,33,22136,0.0014907842428623058,True
decode_r0_batch_13,decode,0,4,518.5764333333333,547.9402666666666,1,1,0,1,24.3706,1.6598,3.3333333333333335,29.363833333333332,33,22136,0.0014907842428623058,True
decode_r0_batch_14,decode,0,4,547.9402666666666,577.3036,1,1,0,1,24.3703,1.6597,3.3333333333333335,29.363333333333333,33,22136,0.0014907842428623058,True
decode_r0_batch_15,decode,0,4,577.3036,606.6663333333333,1,1,0,1,24.3699,1.6595,3.3333333333333335,29.36273333333333,33,22136,0.0014907842428623058,True
decode_r0_batch_16,decode,0,4,606.6663333333333,636.0285666666666,1,1,0,1,24.3696,1.6593,3.3333333333333335,29.362233333333332,33,22136,0.0014907842428623058,True
decode_r0_batch_17,decode,0,4,636.0285666666666,665.3902999999999,1,1,0,1,24.3692,1.6592,3.3333333333333335,29.361733333333333,33,22136,0.0014907842428623058,True
decode_r0_batch_18,decode,0,4,665.3902999999999,694.7515333333332,1,1,0,1,24.3689,1.659,3.3333333333333335,29.36123333333333,34,22136,0.0015359595229490423,True
decode_r0_batch_19,decode,0,4,694.7515333333332,724.1122666666665,1,1,0,1,24.3685,1.6589,3.3333333333333335,29.360733333333332,34,22136,0.0015359595229490423,True
decode_r0_batch_20,decode,0,4,724.1122666666665,753.4724999999999,1,1,0,1,24.3682,1.6587,3.3333333333333335,29.360233333333333,34,22136,0.0015359595229490423,True
decode_r0_batch_21,decode,0,4,753.4724999999999,782.8322333333332,1,1,0,1,24.3678,1.6585,3.3333333333333335,29.35973333333333,34,22136,0.0015359595229490423,True
decode_r0_batch_22,decode,0,4,782.8322333333332,812.1914666666665,1,1,0,1,24.3675,1.6584,3.3333333333333335,29.359233333333332,34,22136,0.0015359595229490423,True
decode_r0_batch_23,decode,0,4,812.1914666666665,841.5500999999999,1,1,0,1,24.3671,1.6582,3.3333333333333335,29.358633333333334,34,22136,0.0015359595229490423,True
decode_r0_batch_24,decode,0,4,841.5500999999999,870.9082333333332,1,1,0,1,24.3668,1.658,3.3333333333333335,29.35813333333333,34,22136,0.0015359595229490423,True
decode_r0_batch_25,decode,0,4,870.9082333333332,900.2658666666665,1,1,0,1,24.3664,1.6579,3.3333333333333335,29.357633333333332,34,22136,0.0015359595229490423,True
decode_r0_batch_26,decode,0,4,900.2658666666665,929.6229999999998,1,1,0,1,24.3661,1.6577,3.3333333333333335,29.357133333333334,34,22136,0.0015359595229490423,True
decode_r0_batch_27,decode,0,4,929.6229999999998,958.9796333333331,1,1,0,1,24.3658,1.6576,3.3333333333333335,29.35663333333333,34,22136,0.0015359595229490423,True
decode_r0_batch_28,decode,0,4,958.9796333333331,988.3357666666665,1,1,0,1,24.3654,1.6574,3.3333333333333335,29.356133333333332,34,22136,0.0015359595229490423,True
decode_r0_batch_29,decode,0,4,988.3357666666665,1017.6913999999998,1,1,0,1,24.3651,1.6572,3.3333333333333335,29.355633333333333,34,22136,0.0015359595229490423,True
decode_r0_batch_30,decode,0,4,1017.6913999999998,1047.0465333333332,1,1,0,1,24.3647,1.6571,3.3333333333333335,29.35513333333333,34,22136,0.0015359595229490423,True
decode_r0_batch_31,decode,0,4,1047.0465333333332,1076.4011666666665,1,1,0,1,24.3644,1.6569,3.3333333333333335,29.354633333333332,34,22136,0.0015359595229490423,True
decode_r0_batch_32,decode,0,4,1076.4011666666665,1105.7552999999998,1,1,0,1,24.364,1.6568,3.3333333333333335,29.354133333333333,34,22136,0.0015359595229490423,True
decode_r0_batch_33,decode,0,4,1105.7552999999998,1135.1089333333332,1,1,0,1,24.3637,1.6566,3.3333333333333335,29.35363333333333,34,22136,0.0015359595229490423,True
decode_r0_batch_34,decode,0,4,1135.1089333333332,1164.4620666666665,1,1,0,1,24.3633,1.6565,3.3333333333333335,29.353133333333332,35,22136,0.0015811348030357788,True
decode_r0_batch_35,decode,0,4,1164.4620666666665,1193.8147,1,1,0,1,24.363,1.6563,3.3333333333333335,29.352633333333333,35,22136,0.0015811348030357788,True
