request_id,arrival_time_ms,prompt_len,output_len,generated_tokens,prefill_start_time_ms,prefill_end_time_ms,kv_transfer_start_time_ms,kv_transfer_end_time_ms,first_token_time_ms,completion_time_ms,ttft_ms,tpot_ms,e2e_ms,status,prefill_replica,decode_replica
req_1,0.0,512,128,128,0.0,155.83013333333335,155.83013333333335,166.17013333333335,195.5401666666667,3663.9639,195.5401666666667,27.310423097112864,3663.9639,completed,0,0
req_2,2137.0314464404696,512,128,128,2137.0314464404696,2292.861579773803,2292.861579773803,2303.201579773803,2333.9261,5463.662833333337,196.89465355953052,24.64359632545935,3326.631386892868,completed,0,0
req_3,2429.3919471195154,512,128,128,2429.3919471195154,2585.222080452849,2585.222080452849,2595.562080452849,2634.4791999999998,5759.590133333337,205.08725288048436,24.607172703412104,3330.1981862138214,completed,0,0
req_4,2608.1664790077793,512,128,128,2608.1664790077793,2763.9966123411127,2763.9966123411127,2774.336612341113,2807.1486333333332,5933.60906666667,198.9821543255539,24.617798687664067,3325.4425876588903,completed,0,0
req_5,3741.1225641063693,512,128,128,3741.1225641063693,3896.9526974397027,3896.9526974397027,3907.292697439703,3936.0705666666677,7075.408500000004,194.9480025602984,24.719196325459343,3334.285935893635,completed,0,0
req_6,5001.651008947797,512,128,128,5001.651008947797,5157.48114228113,5157.48114228113,5167.82114228113,5214.870400000003,8370.986933333337,213.21939105220645,24.851311286089242,3369.3359243855402,completed,0,0
req_7,5838.613731320131,512,128,128,5838.613731320131,5994.443864653464,5994.443864653464,6004.783864653464,6033.590500000004,9183.978133333338,194.9767686798732,24.806201837270343,3345.364402013207,completed,0,0
req_8,7589.090525979161,512,128,128,7589.090525979161,7744.920659312494,7744.920659312494,7755.260659312494,7802.784266666672,10945.112700000009,213.6937406875113,24.742743569553834,3356.022174020848,completed,0,0
req_9,7685.361897537341,512,128,128,7744.920659312494,7900.750792645827,7900.750792645827,7911.090792645827,7951.305466666672,11094.478700000007,265.9435691293311,24.749395538057755,3409.116802462666,completed,0,0
req_10,7892.769681231028,512,128,128,7900.750792645827,8056.5809259791595,8056.5809259791595,8066.92092597916,8098.414766666671,11242.426700000007,205.64508543564352,24.755999475065636,3349.6570187689795,completed,0,0
req_11,8031.161246819939,512,128,128,8056.5809259791595,8212.411059312493,8212.411059312493,8222.751059312493,8271.148500000005,11416.34893333334,239.98725318006564,24.765357742782168,3385.187686513401,completed,0,0
