scenario,cohort_id,size,request_ids,first_token_min_ms,first_token_max_ms,first_token_spread_ms,earliest_prefill_complete_ms,latest_prefill_complete_ms,max_post_prefill_wait_ms
isolated,isolated_cohort_1,1,req_1,121.595,121.595,0.0,88.359,88.359,33.236000000000004
isolated,isolated_cohort_2,1,req_2,8217.076,8217.076,0.0,8184.657,8184.657,32.41899999999998
isolated,isolated_cohort_3,1,req_3,16354.558,16354.558,0.0,16323.612,16323.612,30.94599999999997
isolated,isolated_cohort_4,1,req_4,24629.621,24629.621,0.0,24608.74,24608.74,20.880999999999972
isolated,isolated_cohort_5,1,req_5,32124.876,32124.876,0.0,32091.837,32091.837,33.039
isolated,isolated_cohort_6,1,req_6,40221.98,40221.98,0.0,40187.427,40187.427,34.553
isolated,isolated_cohort_7,1,req_7,48355.616,48355.616,0.0,48322.96,48322.96,32.656000000000006
isolated,isolated_cohort_8,1,req_8,56636.093,56636.093,0.0,56609.044,56609.044,27.048999999999978
medium,medium_cohort_1,1,req_1,122.282,122.282,0.0,90.5,90.5,31.781999999999996
medium,medium_cohort_2,1,req_2,410.759,410.759,0.0,380.961,380.961,29.797999999999973
medium,medium_cohort_3,1,req_3,747.933,747.933,0.0,716.2429999999999,716.2429999999999,31.689999999999998
medium,medium_cohort_4,1,req_4,1328.9099999999999,1328.9099999999999,0.0,1293.4099999999999,1293.4099999999999,35.5
medium,medium_cohort_5,3,"req_7,req_6,req_5",2048.293,2051.366,3.0729999999998654,2010.417,2013.008,39.04100000000017
medium,medium_cohort_6,4,"req_8,req_10,req_9,req_11",2631.382,2633.117,1.7350000000001273,2595.248,2597.259,36.218000000000075
medium,medium_cohort_7,3,"req_12,req_14,req_13",4285.594999999999,4286.505,0.910000000000764,3226.125,4258.08,1059.4699999999998
medium,medium_cohort_8,6,"req_19,req_18,req_15,req_17,req_20,req_16",5053.138,5058.55,5.412000000000262,4258.217000000001,5021.697,798.6520000000003
saturated,saturated_cohort_1,1,req_1,634.966,634.966,0.0,601.213,601.213,33.75300000000004
saturated,saturated_cohort_2,13,"req_9,req_5,req_8,req_13,req_4,req_10,req_6,req_12,req_7,req_3,req_11,req_2,req_14",3413.022,3452.501,39.47900000000027,1726.216,3379.885,1688.687
saturated,saturated_cohort_3,6,"req_18,req_15,req_17,req_16,req_19,req_20",4797.572,4800.279,2.7070000000003347,3755.669,4767.808,1043.817
