scenario,request_id,arrival_time_ms,prompt_len,output_len,client_ttft_ms,client_tpot_ms,client_e2e_ms,prefill_service_ms,post_prefill_to_first_byte_ms,decode_headers_ms,client_minus_proxy_first_byte_ms,absolute_prefill_complete_ms,absolute_decode_first_byte_ms,proxy_decode_duration_ms,internal_request_id,kv_receive_start_ms,kv_receive_complete_ms,prefill_complete_to_kv_receive_start_ms,kv_receive_duration_ms,kv_receive_complete_to_first_byte_ms,readiness_cohort_id,readiness_cohort_size
isolated,req_1,0.0,128,64,127.33105197548866,32.22693029850248,2158.102709800005,88.02799999999999,33.236000000000004,7.544,5.736051975488664,88.359,121.595,2030.3120000000001,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_f575bed7865f40c1828b988c5314f224,13.713297434151173,83.95364694297314,-74.64570256584882,70.24034950882196,37.64135305702686,isolated_cohort_1,1
isolated,req_2,8000.0,512,64,223.36927987635136,32.15229690134052,2249.9602427706122,184.22,32.41899999999998,8.462,6.293279876351363,8184.657,8217.076,2025.442,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_6979180ac4dc451bb6219a45280cd046,15.367001295089722,178.60722821205854,-169.2899987049103,163.24022691696882,38.46877178794145,isolated_cohort_2,1
isolated,req_3,16000.0,1024,64,358.94361790269613,32.11951090229882,2383.464786224067,323.11600000000004,30.94599999999997,10.558,4.38561790269614,16323.612,16354.558,2023.2730000000001,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_b7188689170949bcb57cb07c5c74385e,17.046481370925903,315.7684672623873,-306.5655186290741,298.7219858914614,38.78953273761272,isolated_cohort_3,1
isolated,req_4,24000.0,2048,64,634.4659710302949,32.21107921784832,2664.7193925455213,608.385,20.880999999999972,11.518,4.844971030294914,24608.74,24629.621,2029.0639999999999,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_b8a1dfebedf24db3895141d8322fae14,22.204921580851078,590.0924867019057,-586.5350784191489,567.8875651210546,39.52851329809425,isolated_cohort_4,1
isolated,req_5,32000.0,128,128,131.3626617193222,32.286003144003274,4232.9213712364435,91.474,33.039,8.012,6.4866617193222,32091.837,32124.876,4100.1449999999995,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_79af08b2261d42c6a591ddd81c9b4fda,15.647251158952713,85.95157135277987,-76.18974884104729,70.30432019382715,38.92442864722014,isolated_cohort_5,1
isolated,req_6,40000.0,512,128,228.68427820503712,32.25469653765986,4326.006468385458,186.85,34.553,8.82,6.704278205037127,40187.427,40221.98,4096.212,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_54225d04849c48a99d0e413f5ec69b7a,19.36186570674181,180.65751157701015,-168.06513429325818,161.29564587026834,41.322488422989835,isolated_cohort_6,1
isolated,req_7,48000.0,1024,128,361.1477240920067,32.24189490754539,4456.810151226819,322.38599999999997,32.656000000000006,9.433,5.531724092006698,48322.96,48355.616,4094.5370000000003,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_62fcee5243ed43daa4751b9e6fa949f3,17.147885635495186,314.74785413593054,-305.8121143645048,297.59996850043535,40.86814586406945,isolated_cohort_7,1
isolated,req_8,56000.0,2048,128,641.2512511014938,32.18787780222226,4729.453736916184,608.697,27.048999999999978,11.384,5.158251101493875,56609.044,56636.093,4087.965,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_f9275a074152454aa22279aca7d70e05,19.570594653487206,595.7238441333175,-589.4734053465128,576.1532494798303,40.36915586668249,isolated_cohort_8,1
medium,req_1,0.0,128,32,127.92262248694897,175.87446346278153,5580.4093619808555,90.174,31.781999999999996,7.383,5.6406224869489705,90.5,122.282,5449.146,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_4200c7bb091d4eca816b26534d461a0c,11.802763678133488,84.42652877420187,-78.69723632186651,72.62376509606838,37.85547122579813,medium_cohort_1,1
medium,req_2,200.0,512,64,215.82509949803352,103.12441281146474,6715.06595890969,180.669,29.797999999999973,7.779,5.066099498033537,380.961,410.759,6494.86,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_ff2101eb546a48619b956f5518bce926,68.39535478502512,174.33460801839828,-112.5656452149749,105.93925323337317,36.4243919816017,medium_cohort_2,1
