scenario,cohort_id,size,request_ids,first_token_min_ms,first_token_max_ms,first_token_spread_ms,earliest_prefill_complete_ms,latest_prefill_complete_ms,max_post_prefill_wait_ms
isolated,isolated_cohort_1,1,req_1,117.166,117.166,0.0,87.113,87.113,30.052999999999997
isolated,isolated_cohort_2,1,req_2,8227.963,8227.963,0.0,8188.525,8188.525,39.43799999999999
isolated,isolated_cohort_3,1,req_3,16355.943,16355.943,0.0,16326.007,16326.007,29.93599999999998
isolated,isolated_cohort_4,1,req_4,24628.923,24628.923,0.0,24601.025,24601.025,27.898000000000025
isolated,isolated_cohort_5,1,req_5,32118.5,32118.5,0.0,32087.517,32087.517,30.983000000000004
isolated,isolated_cohort_6,1,req_6,40217.427,40217.427,0.0,40186.982,40186.982,30.444999999999993
isolated,isolated_cohort_7,1,req_7,48352.963,48352.963,0.0,48323.039,48323.039,29.924000000000035
isolated,isolated_cohort_8,1,req_8,56625.864,56625.864,0.0,56599.614,56599.614,26.25
medium,medium_cohort_1,1,req_1,118.092,118.092,0.0,85.851,85.851,32.241
medium,medium_cohort_2,1,req_2,413.58000000000004,413.58000000000004,0.0,381.538,381.538,32.042
medium,medium_cohort_3,1,req_3,748.874,748.874,0.0,715.673,715.673,33.20100000000002
medium,medium_cohort_4,1,req_4,1322.06,1322.06,0.0,1296.379,1296.379,25.680999999999926
medium,medium_cohort_5,3,"req_7,req_6,req_5",2047.004,2049.417,2.413000000000011,2012.487,2015.854,34.947
medium,medium_cohort_6,4,"req_10,req_8,req_11,req_9",3260.299,3263.407,3.1080000000001746,2451.5789999999997,3230.316,808.72
medium,medium_cohort_7,6,"req_12,req_14,req_15,req_13,req_17,req_16",4294.334,4298.245,3.911000000000058,3226.7,4267.504,1067.6339999999998
medium,medium_cohort_8,3,"req_19,req_20,req_18",5059.883,5063.369,3.4859999999998763,5025.281,5028.99,34.60200000000009
saturated,saturated_cohort_1,1,req_1,633.718,633.718,0.0,600.646,600.646,33.072
saturated,saturated_cohort_2,13,"req_9,req_4,req_7,req_11,req_5,req_8,req_6,req_12,req_10,req_3,req_13,req_2,req_14",3413.534,3452.733,39.19900000000007,1723.383,3380.94,1692.241
saturated,saturated_cohort_3,6,"req_18,req_19,req_15,req_17,req_16,req_20",4800.630999999999,4803.191,2.5600000000004,3757.166,4768.827,1043.6489999999994
