scenario,request_id,arrival_time_ms,prompt_len,output_len,client_ttft_ms,client_tpot_ms,client_e2e_ms,prefill_service_ms,post_prefill_to_first_byte_ms,decode_headers_ms,client_minus_proxy_first_byte_ms,absolute_prefill_complete_ms,absolute_decode_first_byte_ms,proxy_decode_duration_ms,internal_request_id,readiness_cohort_id,readiness_cohort_size
isolated,req_1,0.0,128,64,123.42727556824684,31.78715207687919,2126.356870867312,86.474,30.052999999999997,7.357,6.261275568246845,87.113,117.166,2003.78,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_3bcd821650ee44bda3041f63cc8160c4,isolated_cohort_1,1
isolated,req_2,8000.0,512,64,233.65809116512537,33.14316528479731,2322.6418429985642,188.151,39.43799999999999,8.106,5.695091165125376,8188.525,8227.963,2089.069,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_9a1054a2204e4c0492f5fa8d9792e8e8,isolated_cohort_2,1
isolated,req_3,16000.0,1024,64,361.1195720732212,32.773286370294436,2426.8307397142053,325.65,29.93599999999998,9.037,5.176572073221223,16326.007,16355.943,2065.367,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_f4c488cec4c241c28d496d1b943af30f,isolated_cohort_3,1
isolated,req_4,24000.0,2048,64,634.7941076382995,31.05116662170206,2591.9569823890924,600.6619999999999,27.898000000000025,11.725,5.871107638299463,24601.025,24628.923,1957.095,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_5b382068969f430e88a1e1cbcbdf3360,isolated_cohort_4,1
isolated,req_5,32000.0,128,128,124.57489222288132,31.110549286946537,4076.510622166097,87.15599999999999,30.983000000000004,7.183,6.074892222881317,32087.517,32118.5,3952.237,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_7a4169437a02479a9524cb2b180c70ee,isolated_cohort_5,1
isolated,req_6,40000.0,512,128,223.07030949741602,31.09584093885863,4173.206131905317,186.658,30.444999999999993,7.662,5.643309497416027,40186.982,40217.427,3950.0719999999997,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_8f56b840f78c4fabb05180b0bf136b98,isolated_cohort_6,1
isolated,req_7,48000.0,1024,128,358.13558753579855,30.896459962791344,4282.934110611677,322.524,29.924000000000035,11.216,5.172587535798527,48323.039,48352.963,3924.7999999999997,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_78b2875c29ce4c3b9a8deb298a1140bb,isolated_cohort_7,1
isolated,req_8,56000.0,2048,128,631.7893071100116,32.771237883863485,4794.448890723288,599.251,26.25,10.225,5.925307110011545,56599.614,56625.864,4162.843999999999,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_7f80803eaa164aeab792757b9d112365,isolated_cohort_8,1
medium,req_1,0.0,128,32,124.24725946038961,177.44811203691268,5627.677205018699,85.28999999999999,32.241,6.873,6.155259460389615,85.851,118.092,5498.669000000001,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_7f58722336ba4e82922ffd6751ba14bf,medium_cohort_1,1
medium,req_2,200.0,512,64,218.38840562850237,103.102686208865,6714.420486241579,181.04600000000002,32.042,8.322,4.808405628502356,381.538,413.58000000000004,6495.469,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_a85883ea54b140c9a157aab5805483e6,medium_cohort_2,1
medium,req_3,400.0,1024,128,355.7725949212909,65.41041413864751,8663.593675941229,315.024,33.20100000000002,8.454,6.898594921290851,715.673,748.874,8307.47,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_026e81b632814860b007d20cd2bbd870,medium_cohort_3,1
medium,req_4,600.0,2048,64,725.9719809517264,90.6758364881315,6439.885730855167,696.097,25.680999999999926,8.801,3.911980951726491,1296.379,1322.06,5710.849,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_4d9ea6d03a234bfd87f2b66061f83201,medium_cohort_4,1
medium,req_5,800.0,256,128,1254.5928861945868,56.24889770860043,8399.251200258732,1215.285,33.562999999999874,6.663,5.1758861945868375,2015.854,2049.417,7146.748000000001,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_1410102d77634a78a36cec777fa44a7c,medium_cohort_5,3
medium,req_6,1000.0,768,32,1055.8164305984974,129.04629567938466,5056.9865284487605,1012.996,34.947,7.349,7.593430598497434,2013.2759999999998,2048.223,3999.79,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_94abf98e8ce14807bb6a3ad1ba503766,medium_cohort_5,3
medium,req_7,1200.0,1536,128,854.5412281528115,56.23639777566739,7998.22773039341,812.1,34.51700000000005,8.504,7.537228152811508,2012.487,2047.004,7146.138,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_685ce1e884014911ba22559c236b4538,medium_cohort_5,3
medium,req_8,1400.0,384,64,1868.5530945658684,61.878783406601066,5767.430770210922,1052.792,808.415,6.772,6.975094565868403,2453.163,3261.578,3899.774,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_fbc516a89cb84877b51ff06fcab7ef62,medium_cohort_6,4
medium,req_9,1600.0,128,128,1670.3268708661199,47.21418395638466,7667.408710345626,854.494,808.6389999999999,10.76,6.919870866119936,2454.768,3263.407,5996.517,___prefill_addr_10.199.6.2:14579___decode_addr_10.199.6.2:14589_8e72f381a1bf413e83a4f8fe74c5ed21,medium_cohort_6,4
