timestamp,tp_size,batch_size,prompt_tokens,output_tokens,ttft_mean_ms,tpot_mean_ms,req_throughput,out_throughput
2026-08-04T08:34:46.445263,2,1,128,1,533.53,0,1.87,1.87
2026-08-04T08:35:06.058802,2,1,128,128,64.82,47.93,0.16,20.81
2026-08-04T08:35:19.651417,2,1,512,1,183.28,0,5.43,5.43
2026-08-04T08:35:38.998782,2,1,512,128,69.25,45.48,0.17,21.89
2026-08-04T08:35:52.693910,2,1,1024,1,237.25,0,4.2,4.2
2026-08-04T08:36:12.081750,2,1,1024,128,74.12,45.57,0.17,21.83
2026-08-04T08:36:26.005927,2,1,2048,1,456.72,0,2.18,2.18
2026-08-04T08:36:45.430731,2,1,2048,128,83.21,45.7,0.17,21.74
2026-08-04T08:36:59.090394,2,1,4096,1,0,0,0,0
2026-08-04T08:37:12.594931,2,1,4096,128,0,0,0,0
2026-08-04T08:37:26.219614,2,2,128,1,107.08,0,13.86,13.86
2026-08-04T08:37:45.956697,2,2,128,128,148.9,48.02,0.32,40.82
2026-08-04T08:37:59.659824,2,2,512,1,154.97,0,8.47,8.47
2026-08-04T08:38:19.424396,2,2,512,128,127.52,47.66,0.32,41.11
2026-08-04T08:38:33.223920,2,2,1024,1,186.3,0,6.84,6.84
2026-08-04T08:38:52.901552,2,2,1024,128,108.22,47.86,0.32,41.23
2026-08-04T08:39:06.916780,2,2,2048,1,306.81,0,3.85,3.85
2026-08-04T08:39:26.769379,2,2,2048,128,120.23,48.26,0.32,40.81
2026-08-04T08:39:40.350630,2,2,4096,1,0,0,0,0
2026-08-04T08:39:54.135876,2,2,4096,128,0,0,0,0
2026-08-04T08:40:07.837964,2,4,128,1,192.46,0,17.19,17.19
2026-08-04T08:40:27.626588,2,4,128,128,148.41,47.91,0.64,81.66
2026-08-04T08:40:41.639296,2,4,512,1,266.95,0,9.34,9.34
2026-08-04T08:41:01.431036,2,4,512,128,155.84,48.08,0.64,81.43
2026-08-04T08:41:15.543756,2,4,1024,1,334.85,0,7.2,7.2
2026-08-04T08:41:35.505256,2,4,1024,128,168.06,48.59,0.63,80.29
2026-08-04T08:41:50.154082,2,4,2048,1,761.1,0,3.93,3.93
2026-08-04T08:42:10.251087,2,4,2048,128,154.92,49.31,0.62,79.6
2026-08-04T08:42:24.007664,2,4,4096,1,0,0,0,0
2026-08-04T08:42:37.821051,2,4,4096,128,0,0,0,0
