arrival_time_ms,prompt_len,output_len
177.55192528172145,542,162
465.0420472130779,1449,91
834.7299512583332,3371,187
902.4296608424539,814,190
1077.9139500492845,3672,68
1185.2574654973614,1109,123
1627.3255798739535,1040,82
1628.5163743664234,1953,159
1659.0177080012998,3222,210
1735.0220576323027,2626,88
1929.3444133996477,3173,176
2096.943024412892,862,189
2512.3285612677905,1589,136
2648.5784102496496,3813,252
2694.616200749394,2250,198
2783.120765325191,504,161
2838.2480048958273,622,133
2996.4660374964815,1780,218
3182.5499162101305,368,255
3345.1401738913496,1112,91
3777.556571840241,1938,168
3863.0150662321635,2338,157
3873.5709944478795,696,231
3883.6739336390096,1051,179
4028.213248646147,1336,105
4038.021554726665,2288,204
4064.222032588804,185,235
4085.2074013392553,1047,83
4100.925278763331,720,201
4197.542273167618,3390,115
4374.66567396642,3907,216
4532.884451053177,2203,137
4703.603568162667,2241,100
4918.670691246665,778,134
4967.189543576766,1662,183
5022.706334433532,2618,74
5205.736082730039,1853,131
5373.434019620387,3760,171
5461.403489505359,2943,113
5514.872156097046,3533,120
5558.188806867559,1296,146
5758.229151114478,4020,152
5765.559456052297,1225,210
5784.689943214453,3661,193
5791.166484746051,1731,170
5840.652239511783,1404,113
6078.895658308458,2567,78
6133.834146086665,2254,78
6195.447920052306,1111,152
6229.711481169223,3815,175
