arrival_time_ms,prompt_len,output_len
138.74058350927427,1060,185
356.28069897556753,2647,80
781.4393642506005,3982,127
964.5717914588918,433,219
1001.7813052590238,1099,92
1067.0877225542743,3243,68
1157.3685631206263,283,124
1452.9000115284794,1873,79
1542.9145647480498,243,252
1568.0315033871912,794,161
1603.8083905394624,580,146
1651.0164255157583,507,198
1801.603717981232,642,87
1898.4193973164024,3337,175
1902.6063760604225,3390,251
1995.4633838669015,1419,160
2035.9318265113152,2751,145
2477.917449499733,3846,202
2746.238687703587,1715,216
2990.469865145697,2099,75
